lambda_0,mean_lambda,mean_t_c,direct_t_c
0.2019190992493744,0.2322243596437787,0.0875989583749455,0.016023508226926084
0.2852535446205171,0.256554046143339,0.1053610970738059,0.06809353157628208
0.2250675562969141,0.2625654121265343,0.1106771087131413,0.026666951295606808
0.097929107589658,0.2024941753136968,0.0683310330473518,8.333112844906526e-05
0.1873177648040033,0.2289880905021315,0.0833278438709269,0.010891835414085425
0.3051968306922435,0.2859718544956501,0.128576899759627,0.08562364059869734
0.452278565471226,0.3874128960314532,0.2005548247137606,0.24853412230537258
0.1111059216013344,0.1819237942459618,0.0569266602454769,0.0002797427212846867
0.4675921601334445,0.3738012859777027,0.1886047249393328,0.26721497699064034
0.1994261884904086,0.2270565675402355,0.0808105049059849,0.015061605981069107
0.4113236030025021,0.3511752073277628,0.1749140102823082,0.19941092465693444
0.1947964970809007,0.2441752997549904,0.0965078661836763,0.013369458389258035
0.199070058381985,0.2211287777271459,0.0851283631367812,0.014927098834227645
0.0811909924937447,0.1666639663017715,0.0443174725986676,1.0151824828790631e-05
0.0883135946622185,0.1873143840851422,0.0588442578344387,2.741268135090279e-05
0.1595396163469558,0.2423162776085081,0.0952535859935602,0.0042995045146536
0.3354678899082569,0.2902942230141538,0.1212686173162197,0.11507961500645471
0.4772076730608841,0.3381886209071882,0.1710401564974638,0.2789974494726513
0.2036997497914929,0.2546543439086582,0.1045235115005075,0.016732437859116864
0.1310492076730608,0.2308034485776339,0.0878615630405039,0.0011005543078696054
0.4700850708924103,0.3515255014795367,0.1763984623973929,0.27026638936275066
0.1912351959966639,0.2284285232305178,0.0883661934936663,0.012150526203021282
0.4248565471226022,0.3539263528558098,0.175551549386456,0.21546921034390348
0.4903844870725604,0.3585835323363667,0.1786376346410828,0.2951892680959661
0.4294862385321101,0.3547250475803804,0.1809995986953453,0.22100728882374307
0.2072610508757297,0.2295363748279286,0.0791844191970153,0.018205108034330588
0.183044203502919,0.2453186176605667,0.0942513923106782,0.009615478723604062
0.1282001668056714,0.2017642896924918,0.071876158395788,0.0009288886160491482
0.1477873227689741,0.1926079099612698,0.0667134961345882,0.002611840575149735
0.103627189324437,0.2227630502980332,0.0824719637955209,0.00014610326088720035
